Date,Open,High,Low,Close
2019-11-27 09-AM,145.01,145.18,140.84,142.06
2019-11-27 08-AM,146.28,146.89,144.98,145.01
2019-11-27 07-AM,146.97,147.8,145.81,146.28
2019-11-27 06-AM,145.2,147.03,144.51,146.97
2019-11-27 05-AM,145.22,145.81,144.52,145.2
2019-11-27 04-AM,145.23,146,143.5,145.22
2019-11-27 03-AM,147.52,147.7,144.83,145.23
2019-11-27 02-AM,147.94,148.41,147.15,147.52
2019-11-27 01-AM,147.85,148.53,147.13,147.94
2019-11-27 12-AM,147.47,147.87,146.5,147.85
2019-11-26 11-PM,147.82,148.23,147,147.47
2019-11-26 10-PM,147.85,148.15,147.31,147.82
2019-11-26 09-PM,146.5,148.72,146.5,147.85
2019-11-26 08-PM,144.99,147,144.99,146.5
2019-11-26 07-PM,145.1,145.59,144.59,144.99
2019-11-26 06-PM,145.03,145.29,143.86,145.1
2019-11-26 05-PM,145.96,146.1,144.5,145.03
2019-11-26 04-PM,145.73,146.44,145.04,145.96
2019-11-26 03-PM,144.71,146.14,144.38,145.73
2019-11-26 02-PM,144.19,145.62,143.59,144.71
2019-11-26 01-PM,145.57,145.6,143.47,144.19
2019-11-26 12-PM,146.07,146.98,145,145.57
2019-11-26 11-AM,146.76,146.8,143.37,146.07
2019-11-26 10-AM,146.78,147.25,146.41,146.76
2019-11-26 09-AM,146.53,147.4,145.76,146.78
2019-11-26 08-AM,146.84,147.96,145.93,146.53
2019-11-26 07-AM,147.22,147.79,145.58,146.84
2019-11-26 06-AM,148.53,149.6,147.21,147.22
2019-11-26 05-AM,147.91,149.85,147.85,148.53
2019-11-26 04-AM,149.47,149.49,147.78,147.91
2019-11-26 03-AM,147.08,149.97,146.63,149.47
2019-11-26 02-AM,146.92,148.32,146.62,147.08
2019-11-26 01-AM,145.83,147.48,145,146.92
2019-11-26 12-AM,145.69,146.8,144.06,145.83
2019-11-25 11-PM,146.79,147.34,145.52,145.69
2019-11-25 10-PM,147.54,147.97,146.76,146.79
2019-11-25 09-PM,146.58,148.1,145.69,147.54
2019-11-25 08-PM,146.85,147.8,144.88,146.58
2019-11-25 07-PM,149.04,149.22,146.39,146.85
2019-11-25 06-PM,148.23,149.37,148.2,149.04
2019-11-25 05-PM,148.24,148.88,146.38,148.23
2019-11-25 04-PM,149.59,151.5,147.9,148.24
2019-11-25 03-PM,147.58,150.29,147.49,149.59
2019-11-25 02-PM,146.17,149.14,146.09,147.58
2019-11-25 01-PM,147.5,149.98,145.21,146.17
2019-11-25 12-PM,142.51,148.24,142.19,147.5
2019-11-25 11-AM,143.69,147,140.65,142.51
2019-11-25 10-AM,137.37,145.88,136.79,143.69
2019-11-25 09-AM,135.43,138.7,135.1,137.37
2019-11-25 08-AM,135.26,136.4,134.28,135.43
2019-11-25 07-AM,134.48,136.06,134.28,135.26
2019-11-25 06-AM,132.15,135.2,131.99,134.48
2019-11-25 05-AM,134.31,134.86,131.5,132.15
2019-11-25 04-AM,137.62,137.64,131.45,134.31
2019-11-25 03-AM,137.62,137.62,137.62,137.62
2019-11-25 02-AM,137.62,137.62,137.62,137.62
2019-11-25 01-AM,140.26,142.37,134.85,137.62
2019-11-25 12-AM,139.96,140.91,138.01,140.26
2019-11-24 11-PM,144.03,144.17,138.62,139.96
2019-11-24 10-PM,143.77,144.43,142.95,144.03
2019-11-24 09-PM,144.28,144.85,143.58,143.77
2019-11-24 08-PM,143.91,144.9,142.73,144.28
2019-11-24 07-PM,144.64,144.92,143.7,143.91
2019-11-24 06-PM,144.89,145.58,144.23,144.64
2019-11-24 05-PM,144.66,145.38,143.71,144.89
2019-11-24 04-PM,143.54,145.44,141.25,144.66
2019-11-24 03-PM,146.21,146.86,142.69,143.54
2019-11-24 02-PM,148.31,148.57,144.22,146.21
2019-11-24 01-PM,149.29,149.31,148.14,148.31
2019-11-24 12-PM,149.99,150,148.8,149.29
2019-11-24 11-AM,149.01,150.58,148.78,149.99
2019-11-24 10-AM,150.89,151.17,148.8,149.01
2019-11-24 09-AM,150.02,151.2,149.74,150.89
2019-11-24 08-AM,149.34,150.55,149.21,150.02
2019-11-24 07-AM,149.78,150.22,149.28,149.34
2019-11-24 06-AM,149.33,150.74,149.32,149.78
2019-11-24 05-AM,149.25,150.05,149,149.33
2019-11-24 04-AM,149.74,149.97,148.64,149.25
2019-11-24 03-AM,150.5,150.51,149.4,149.74
2019-11-24 02-AM,150.92,151.71,150.4,150.5
2019-11-24 01-AM,150.76,151.23,150.21,150.92
2019-11-24 12-AM,151.84,152.86,150.22,150.76
2019-11-23 11-PM,151.81,152.71,151.65,151.84
2019-11-23 10-PM,151.03,152.94,150.91,151.81
2019-11-23 09-PM,150.97,151.08,150.03,151.03
2019-11-23 08-PM,151.58,151.79,150.72,150.97
2019-11-23 07-PM,152.42,153,151.37,151.58
2019-11-23 06-PM,152,152.96,151.41,152.42
2019-11-23 05-PM,153.35,154.01,151.4,152
2019-11-23 04-PM,152.07,154.33,151.39,153.35
2019-11-23 03-PM,150.94,153.08,150.33,152.07
2019-11-23 02-PM,149,151.94,148.88,150.94
2019-11-23 01-PM,148.24,149.37,148.2,149
2019-11-23 12-PM,148.91,149.49,148,148.24
2019-11-23 11-AM,148.82,149.99,148.25,148.91
2019-11-23 10-AM,147.87,149.78,146.99,148.82
2019-11-23 09-AM,148.84,148.88,146.6,147.87
2019-11-23 08-AM,150.01,150.94,147.97,148.84
2019-11-23 07-AM,150.64,151.61,149.57,150.01
2019-11-23 06-AM,150.59,151.33,149.98,150.64
2019-11-23 05-AM,149.44,150.95,148.92,150.59
2019-11-23 04-AM,151.52,152.16,149.42,149.44
2019-11-23 03-AM,149.96,151.99,149.87,151.52
2019-11-23 02-AM,148.78,150.29,148.75,149.96
2019-11-23 01-AM,148.3,149.53,147.09,148.78
2019-11-23 12-AM,149.56,149.93,146.11,148.3
2019-11-22 11-PM,149.17,150.26,147.61,149.56
2019-11-22 10-PM,152.85,153.43,148.57,149.17
2019-11-22 09-PM,152.35,153.54,151.81,152.85
2019-11-22 08-PM,152.62,154.74,151.37,152.35
2019-11-22 07-PM,150.34,153.27,149.93,152.62
2019-11-22 06-PM,148.36,150.56,147.71,150.34
2019-11-22 05-PM,147.43,148.89,146.97,148.36
2019-11-22 04-PM,148.06,150.32,146.3,147.43
2019-11-22 03-PM,144.66,148.69,144.65,148.06
2019-11-22 02-PM,144.78,145.18,138,144.66
2019-11-22 01-PM,149.86,149.86,143.11,144.78
2019-11-22 12-PM,148.87,150.03,148.1,149.86
2019-11-22 11-AM,148,150.67,147.85,148.87
2019-11-22 10-AM,155.16,155.18,145.11,148
2019-11-22 09-AM,157.47,157.61,151.22,155.16
2019-11-22 08-AM,157.87,162,157.18,157.47
2019-11-22 07-AM,154.97,158.36,153.52,157.87
2019-11-22 06-AM,159.19,159.69,154.38,154.97
2019-11-22 05-AM,160.48,160.75,158.3,159.19
2019-11-22 04-AM,160.12,161.17,159.95,160.48
2019-11-22 03-AM,161.6,161.77,159.97,160.12
2019-11-22 02-AM,161.91,162.52,161.32,161.6
2019-11-22 01-AM,162.62,162.79,161.55,161.91
2019-11-22 12-AM,161.01,162.62,160.84,162.62
2019-11-21 11-PM,160.69,161.1,160.03,161.01
2019-11-21 10-PM,159.44,160.81,159.4,160.69
2019-11-21 09-PM,159.01,160.1,158.61,159.44
2019-11-21 08-PM,160.42,160.93,158.32,159.01
2019-11-21 07-PM,158.63,160.46,158.54,160.42
2019-11-21 06-PM,158.64,158.98,158.3,158.63
2019-11-21 05-PM,160.61,160.7,158.41,158.64
2019-11-21 04-PM,161.26,162.16,160,160.61
2019-11-21 03-PM,164.89,164.93,157.26,161.26
2019-11-21 02-PM,168.58,168.89,164.11,164.89
2019-11-21 01-PM,169.27,169.33,168.51,168.58
2019-11-21 12-PM,168.23,169.43,168.14,169.27
2019-11-21 11-AM,171.19,171.19,166.91,168.23
2019-11-21 10-AM,171.59,171.85,170.86,171.19
2019-11-21 09-AM,172.05,172.6,171.55,171.59
2019-11-21 08-AM,174.64,174.8,171.1,172.05
2019-11-21 07-AM,174.5,174.95,174,174.64
2019-11-21 06-AM,175.06,175.08,174,174.5
2019-11-21 05-AM,175.09,175.17,174.78,175.06
2019-11-21 04-AM,175.51,175.51,174.83,175.09
2019-11-21 03-AM,175.24,175.59,174.64,175.51
2019-11-21 02-AM,175.74,175.84,174.85,175.24
2019-11-21 01-AM,174.72,175.85,174.61,175.74
2019-11-21 12-AM,174.72,174.93,174.03,174.72
2019-11-20 11-PM,175.08,175.23,174.23,174.72
2019-11-20 10-PM,175.31,175.88,174.67,175.08
2019-11-20 09-PM,174.7,175.88,174.51,175.31
2019-11-20 08-PM,174.65,174.84,173.95,174.7
2019-11-20 07-PM,174.44,174.73,173.5,174.65
2019-11-20 06-PM,176.58,177.37,173.88,174.44
2019-11-20 05-PM,175.85,176.74,175.8,176.58
2019-11-20 04-PM,176,176.73,175.7,175.85
2019-11-20 03-PM,177.04,177.28,175.21,176
2019-11-20 02-PM,175.13,177.35,175.06,177.04
2019-11-20 01-PM,174.84,175.29,174.66,175.13
2019-11-20 12-PM,174.93,175.48,174.5,174.84
2019-11-20 11-AM,174.39,175.3,174.24,174.93
2019-11-20 10-AM,175.35,175.65,173.53,174.39
2019-11-20 09-AM,176.14,176.35,175.2,175.35
2019-11-20 08-AM,176.63,177.1,176.08,176.14
2019-11-20 07-AM,176.91,177.4,176.6,176.63
2019-11-20 06-AM,176.26,177.41,176.26,176.91
2019-11-20 05-AM,175.47,176.58,174.64,176.26
2019-11-20 04-AM,175.76,176.53,175.27,175.47
2019-11-20 03-AM,176.32,176.32,175.73,175.76
2019-11-20 02-AM,176.28,176.75,176.18,176.32
2019-11-20 01-AM,175.65,176.95,175.65,176.28
2019-11-20 12-AM,175.94,176,175.01,175.65
2019-11-19 11-PM,175.83,176.32,175.06,175.94
2019-11-19 10-PM,174.58,176.44,174.57,175.83
2019-11-19 09-PM,174.09,174.62,173.71,174.58
2019-11-19 08-PM,174.18,174.2,172.88,174.09
2019-11-19 07-PM,173.9,174.54,173.61,174.18
2019-11-19 06-PM,174.26,174.91,173.81,173.9
2019-11-19 05-PM,174.65,174.71,172.65,174.26
2019-11-19 04-PM,174.95,175.95,174.09,174.65
2019-11-19 03-PM,175.06,175.49,174.25,174.95
2019-11-19 02-PM,174.08,175.85,174.08,175.06
2019-11-19 01-PM,174.11,174.8,173.44,174.08
2019-11-19 12-PM,174.65,175.89,173.3,174.11
2019-11-19 11-AM,176.34,176.65,173.15,174.65
2019-11-19 10-AM,177.08,177.27,175.86,176.34
2019-11-19 09-AM,177.41,177.41,176.55,177.08
2019-11-19 08-AM,176.1,177.45,176.03,177.41
2019-11-19 07-AM,176.73,176.8,175.34,176.1
2019-11-19 06-AM,176.77,176.93,175.72,176.73
2019-11-19 05-AM,177.02,177.45,176.55,176.77
2019-11-19 04-AM,177.15,177.38,175.9,177.02
2019-11-19 03-AM,178,178.05,176.93,177.15
2019-11-19 02-AM,178.02,178.52,177.5,178
2019-11-19 01-AM,177.28,178.3,177.17,178.02
2019-11-19 12-AM,178.2,178.41,176.96,177.28
2019-11-18 11-PM,178.69,178.72,178.05,178.2
2019-11-18 10-PM,178.76,178.83,177.79,178.69
2019-11-18 09-PM,178.32,178.86,178.02,178.76
2019-11-18 08-PM,178.81,178.81,177.27,178.32
2019-11-18 07-PM,178.67,179,177.9,178.81
2019-11-18 06-PM,180.03,180.17,175.01,178.67
2019-11-18 05-PM,181.1,181.19,179.3,180.03
2019-11-18 04-PM,180.98,181.8,180.9,181.1
2019-11-18 03-PM,181.96,182.16,180.61,180.98
2019-11-18 02-PM,182.55,182.9,181.87,181.96
2019-11-18 01-PM,181.86,182.88,181.57,182.55
2019-11-18 12-PM,182.37,182.49,181.36,181.86
2019-11-18 11-AM,182.61,183.08,181.85,182.37
2019-11-18 10-AM,183.26,183.26,182.55,182.61
2019-11-18 09-AM,183.34,183.36,182.95,183.26
2019-11-18 08-AM,183.31,183.87,182.9,183.34
2019-11-18 07-AM,182.83,183.59,182.63,183.31
2019-11-18 06-AM,183.72,184.06,182.7,182.83
2019-11-18 05-AM,183.15,183.88,182.99,183.72
2019-11-18 04-AM,183.07,183.5,182.85,183.15
2019-11-18 03-AM,182.96,183.28,182.35,183.07
2019-11-18 02-AM,183.3,183.37,182.23,182.96
2019-11-18 01-AM,183.81,183.82,183.06,183.3
2019-11-18 12-AM,183.82,183.95,183,183.81
2019-11-17 11-PM,184.3,184.31,183.47,183.82
2019-11-17 10-PM,185.12,185.21,184.13,184.3
2019-11-17 09-PM,184.27,185.18,184.2,185.12
2019-11-17 08-PM,185.07,186.09,184.17,184.27
2019-11-17 07-PM,185.1,185.25,184.66,185.07
2019-11-17 06-PM,184.91,185.35,184.91,185.1
2019-11-17 05-PM,184.67,185.6,184.67,184.91
2019-11-17 04-PM,184.25,184.82,184.2,184.67
2019-11-17 03-PM,183.96,184.98,183.86,184.25
2019-11-17 02-PM,184.1,184.27,183.6,183.96
2019-11-17 01-PM,185.26,185.75,183.97,184.1
2019-11-17 12-PM,184.19,185.75,184.17,185.26
2019-11-17 11-AM,183.71,185.25,183.53,184.19
2019-11-17 10-AM,183.24,183.97,182.76,183.71
2019-11-17 09-AM,183.15,184.2,182.87,183.24
2019-11-17 08-AM,180.77,183.37,180,183.15
2019-11-17 07-AM,181.23,181.27,180.21,180.77
2019-11-17 06-AM,181.77,181.8,181.1,181.23
2019-11-17 05-AM,181.06,181.82,180.96,181.77
2019-11-17 04-AM,181.81,181.81,180.77,181.06
2019-11-17 03-AM,182.14,182.21,181.34,181.81
2019-11-17 02-AM,182.51,182.68,182.1,182.14
2019-11-17 01-AM,182.83,183,182.26,182.51
2019-11-17 12-AM,182.37,183.18,182.25,182.83
2019-11-16 11-PM,182.29,182.72,182.08,182.37
2019-11-16 10-PM,183.36,183.4,182.2,182.29
2019-11-16 09-PM,181.99,183.46,181.89,183.36
2019-11-16 08-PM,182.4,182.4,181.94,181.99
2019-11-16 07-PM,182.8,183.04,182.24,182.4
2019-11-16 06-PM,182.3,182.81,182.22,182.8
2019-11-16 05-PM,182.47,182.53,182.15,182.3
2019-11-16 04-PM,182.64,183.13,182.31,182.47
2019-11-16 03-PM,182.27,182.89,182.06,182.64
2019-11-16 02-PM,181.97,182.87,181.51,182.27
2019-11-16 01-PM,181.4,182.26,181.4,181.97
2019-11-16 12-PM,181.65,181.95,180.98,181.4
2019-11-16 11-AM,181.27,181.76,180.73,181.65
2019-11-16 10-AM,181.77,182.64,181.01,181.27
2019-11-16 09-AM,181.39,182.36,181.26,181.77
2019-11-16 08-AM,181.28,181.72,180.97,181.39
2019-11-16 07-AM,180.31,181.9,180.27,181.28
2019-11-16 06-AM,180.6,180.68,180.13,180.31
2019-11-16 05-AM,180.64,180.78,180.12,180.6
2019-11-16 04-AM,180.03,180.7,179.97,180.64
2019-11-16 03-AM,180.26,180.48,179.75,180.03
2019-11-16 02-AM,180.84,180.91,180.07,180.26
2019-11-16 01-AM,180.09,180.93,179.94,180.84
2019-11-16 12-AM,180,180.35,179.3,180.09
2019-11-15 11-PM,180.98,181.06,179.71,180
2019-11-15 10-PM,179.76,181,179.71,180.98
2019-11-15 09-PM,179.72,179.9,179.3,179.76
2019-11-15 08-PM,179.63,179.83,179.2,179.72
2019-11-15 07-PM,179.89,179.93,179.29,179.63
2019-11-15 06-PM,179.12,179.9,178.79,179.89
2019-11-15 05-PM,179.34,179.45,178.8,179.12
2019-11-15 04-PM,179.9,180.36,177.95,179.34
2019-11-15 03-PM,179.66,180.79,178.6,179.9
2019-11-15 02-PM,182.89,183.07,177.67,179.66
2019-11-15 01-PM,183.92,184.28,182.73,182.89
2019-11-15 12-PM,183.34,183.98,183.31,183.92
2019-11-15 11-AM,183.82,184.11,183.29,183.34
2019-11-15 10-AM,183.92,184.4,183.05,183.82
2019-11-15 09-AM,184.37,186.7,183.63,183.92
2019-11-15 08-AM,182.73,184.37,182.69,184.37
2019-11-15 07-AM,183.42,183.63,182.65,182.73
2019-11-15 06-AM,182.34,183.66,182.15,183.42
2019-11-15 05-AM,182.29,182.6,181.99,182.34
2019-11-15 04-AM,182.18,182.62,181,182.29
2019-11-15 03-AM,182.04,182.66,181.28,182.18
2019-11-15 02-AM,183.51,184.09,180.63,182.04
2019-11-15 01-AM,184.21,184.53,183.11,183.51
2019-11-15 12-AM,184.92,185.28,184.07,184.21
2019-11-14 11-PM,185.13,185.88,184.64,184.92
2019-11-14 10-PM,185.09,185.36,184.59,185.13
2019-11-14 09-PM,184.49,185.4,184.48,185.09
2019-11-14 08-PM,183.66,184.6,183.64,184.49
2019-11-14 07-PM,183.91,184.24,183.39,183.66
2019-11-14 06-PM,184.8,184.88,183.34,183.91
2019-11-14 05-PM,184.73,184.98,184.54,184.8
2019-11-14 04-PM,184.59,185.32,183.78,184.73
2019-11-14 03-PM,185.69,185.83,183.71,184.59
2019-11-14 02-PM,186.05,186.41,185.31,185.69
2019-11-14 01-PM,185.3,186.73,184.58,186.05
2019-11-14 12-PM,185.13,185.47,184.31,185.3
2019-11-14 11-AM,185.23,185.27,184.1,185.13
2019-11-14 10-AM,185.47,185.75,184.84,185.23
2019-11-14 09-AM,185.06,185.77,184.54,185.47
2019-11-14 08-AM,185.27,185.7,184.35,185.06
2019-11-14 07-AM,186.08,186.28,185,185.27
2019-11-14 06-AM,186.28,186.82,185.91,186.08
2019-11-14 05-AM,185.85,186.54,185.37,186.28
2019-11-14 04-AM,187.32,187.4,185.2,185.85
2019-11-14 03-AM,187.43,187.58,187.06,187.32
2019-11-14 02-AM,187.11,187.57,186.92,187.43
2019-11-14 01-AM,187.72,188.05,187.11,187.11
2019-11-14 12-AM,188.11,188.72,187.56,187.72
2019-11-13 11-PM,187.59,189.39,187.55,188.11
2019-11-13 10-PM,187.73,187.8,187.39,187.59
2019-11-13 09-PM,187.5,187.99,187.13,187.73
2019-11-13 08-PM,187.9,188.26,187.38,187.5
2019-11-13 07-PM,187.45,187.95,187.34,187.9
2019-11-13 06-PM,188.15,188.72,187.41,187.45
2019-11-13 05-PM,187.56,189.66,187.56,188.15
2019-11-13 04-PM,187,187.72,186.86,187.56
2019-11-13 03-PM,186.62,187.58,186.54,187
2019-11-13 02-PM,186.84,187.35,186.42,186.62
2019-11-13 01-PM,186.71,186.86,185.72,186.84
2019-11-13 12-PM,187.18,187.35,186.46,186.71
2019-11-13 11-AM,187.67,187.82,186.69,187.18
2019-11-13 10-AM,186.88,188.28,186.88,187.67
2019-11-13 09-AM,186.45,187.14,186.17,186.88
2019-11-13 08-AM,185.8,186.9,185.5,186.45
2019-11-13 07-AM,185.87,186.18,185.61,185.8
2019-11-13 06-AM,185.54,186.08,185.38,185.87
2019-11-13 05-AM,185.6,186.13,185.5,185.54
2019-11-13 04-AM,185.77,185.81,185.3,185.6
2019-11-13 03-AM,185.77,185.77,185.77,185.77
2019-11-13 02-AM,185.77,185.77,185.77,185.77
2019-11-13 01-AM,186.18,186.21,185.53,185.77
2019-11-13 12-AM,187.09,187.38,185.77,186.18
2019-11-12 11-PM,186.51,187.1,186.14,187.09
2019-11-12 10-PM,186.17,186.8,185.86,186.51
2019-11-12 09-PM,186.79,186.82,185.95,186.17
2019-11-12 08-PM,185.66,187.35,185.45,186.79
2019-11-12 07-PM,185.55,185.73,185.3,185.66
2019-11-12 06-PM,185.43,185.84,185.35,185.55
2019-11-12 05-PM,184.64,185.88,184.37,185.43
2019-11-12 04-PM,184.87,185.46,184.48,184.64
2019-11-12 03-PM,184.15,185.19,182.41,184.87
2019-11-12 02-PM,184.28,184.28,182.72,184.15
2019-11-12 01-PM,186.39,186.48,183.63,184.28
2019-11-12 12-PM,185.86,187.65,185,186.39
2019-11-12 11-AM,185.77,185.94,185.17,185.86
2019-11-12 10-AM,185.79,186.38,185.64,185.77
2019-11-12 09-AM,185.96,186.2,185.13,185.79
2019-11-12 08-AM,186.17,186.28,185.72,185.96
2019-11-12 07-AM,186.59,187.02,186,186.17
2019-11-12 06-AM,186.06,186.82,185.93,186.59
2019-11-12 05-AM,185.81,186.49,185.75,186.06
2019-11-12 04-AM,185.42,186.21,185.29,185.81
2019-11-12 03-AM,185.72,185.87,184.85,185.42
2019-11-12 02-AM,185.57,186.4,185.56,185.72
2019-11-12 01-AM,185.65,186,185.4,185.57
2019-11-12 12-AM,184.98,186.01,184.39,185.65
2019-11-11 11-PM,185.59,185.63,184.06,184.98
2019-11-11 10-PM,186.16,186.23,185.5,185.59
2019-11-11 09-PM,185.82,186.35,185.67,186.16
2019-11-11 08-PM,186.57,186.58,185.67,185.82
2019-11-11 07-PM,186.39,186.57,185.89,186.57
2019-11-11 06-PM,185.73,186.7,185.31,186.39
2019-11-11 05-PM,185.96,186.18,185.49,185.73
2019-11-11 04-PM,185.8,186.34,185.37,185.96
2019-11-11 03-PM,187.23,187.25,185.37,185.8
2019-11-11 02-PM,186.59,187.39,186.19,187.23
2019-11-11 01-PM,186.4,186.59,185.81,186.59
2019-11-11 12-PM,186.49,186.65,186.07,186.4
2019-11-11 11-AM,186.61,186.67,185.82,186.49
2019-11-11 10-AM,185.77,186.91,185.21,186.61
2019-11-11 09-AM,186.47,186.52,184.92,185.77
2019-11-11 08-AM,186.95,186.95,185.84,186.47
2019-11-11 07-AM,186.68,187.04,185.88,186.95
2019-11-11 06-AM,188.29,188.29,185.58,186.68
